platform,method,extractionscript,analysis,project_lead,orcid,participants,data,publication,odissei_grant
WhatsApp ,Port,https://github.com/sodascience/port-whatsapp-datadonation,,Rense Corten,https://orcid.org/0000-0001-8154-9393,LISS panel,https://doi.org/10.57990/ge66-3v89,,LISS grant 2021
Google Assistant,Port,https://github.com/d3i-infra/port-google-home-uva,https://osf.io/hy3mj/,Rebecca Wald,https://orcid.org/0000-0003-2086-903X,Motivaction,https://osf.io/hy3mj/,https://www.tandfonline.com/doi/pdf/10.1080/1369118X.2025.2540915,
Twitter Instagram YouTube Facebook,Data donation on Next ,https://github.com/d3i-infra/port-d3i-pilot,,Theo Araujo,,Panel inzicht,,,
WhatsApp Instagram,Data donation on Next ,https://github.com/bojan2110/port,,Thabo van WoudenBerg,,Self Recruitment,,,
TikTok,Data donation on Next ,https://github.com/d3i-infra/port-news-dynamics,,Lion Wedel,,,,,
"YouTube, TikTok",Data donation on Next ,https://github.com/d3i-infra/nko_port,,Theo Araujo,,I&O Panel,,,
"YouTube, TikTok, Twitter, FaceBook, Chrome, Instagram, LinkedIn",Data donation on Next ,https://github.com/d3i-infra/port-vu-pilot,,Tim Groot Kormelink,,Self Recruitment,,,
Netflix,Data donation on Next ,https://github.com/d3i-infra/port-pilot-netflix,,Karin van Es,,I&O Panel,,,
"TikTok, Instagram",Data donation on Next ,https://github.com/eyra/port-cambridge-tiktok,,Amy Orben,,Self Recruitment,,,
"Facebook, Instagram, Twitter",Data donation on Next ,https://github.com/trbKnl/dd-socmediaorgs-uva,,Sarah Marshlich,,Self Recruitment,,,
ChatGPT,Data donation on Next ,https://github.com/trbKnl/port-chatgpt-uva,,Theo Araujo,,Panel inzicht,,,
TikTok,Data donation on Next ,https://github.com/trbKnl/dd-tiktok-uva,,Teun Sieber,,Self Recruitment,,,
ChatGPT,Data donation on Next ,https://github.com/trbknl/port-chatgpt-uu,,Karin van Es,,Self Recruitment,,,
Facebook,Data donation on Next ,https://github.com/trbKnl/port-lifelines-ru,,Charlie Loopuijt,,Lifelines,,,
Slack,Data donation on Next ,https://github.com/trbKnl/eur-slack,,Angelica Maneiri,,Norstat,,,
Netflix,Data donation on Next ,https://github.com/trbKnl/port-ru-netflix,,Gijsje Maas,,Motivaction,,,
"TikTok, YouTube",Data donation on Next ,https://github.com/paulmaxus/dd-videos,,Lauranna Teunissen,,Self Recruitment,,,
Instagram,Data donation on Next ,https://github.com/trbKnl/dd-instagram-tiu,,Tim Reeskens,,Motivaction,,,
"Template library for: ChatGPT, Facebook, Instagram, Linkedin, Netflix, TikTok, Whatsapp, X, YouTube",This repository can be used as a starting point when developing a data donation task for Next,https://github.com/d3i-infra/data-donation-task,,Niek de Schipper,,,,,
Instagram,Data donation on Next ,https://github.com/trbKnl/local-modeler-port,,Niek de Schipper,https://orcid.org/0000-0002-8462-9791,Ipsos,https://doi.org/10.34894/TQU5ZD,,
